Table 6: Change in Vacancy Rates
Community,2021 Vacancy,2022 Vacancy,% Variance in Vacancy
Vegreville,8.0,17.5,9.5
Provost,9.8,19.2,9.4
Coaldale,0.0,8.0,8.0
Vermilion,8.7,16.1,7.4
Westlock,16.3,23.6,7.3
Falher,4.2,11.3,7.1
Vulcan,0.0,6.9,6.9
Slave Lake,0.0,6.8,6.8
Bruderheim,38.8,45.0,6.2
Fox Creek,51.9,57.7,5.8
High Prairie,5.6,10.8,5.2
Mclennan,0.0,4.2,4.2
Bonnyville,15.1,18.8,3.7
Crowsnest Pass,13.5,16.7,3.2
Edson,1.6,4.3,2.7
Innisfail,0.6,3.3,2.7
Blackfalds,0.0,2.6,2.6
High Level,2.2,4.9,2.7
Taber,1.8,4.4,2.6
Eckville,4.8,6.7,1.9
Claresholm,0.0,1.4,1.4
Sundre,1.4,2.6,1.2
Wainwright,12.6,12.9,0.3
Two Hills,2.8,3.1,0.3
Rimbey,2.4,2.8,0.4
St. Paul,17.2,17.2,0.0
Bassano,0.0,0.0,0.0
Bow Island,0.0,0.0,0.0
Grimshaw,8.3,8.3,0.0
Jasper,0.0,0.0,0.0
Lacombe,0.0,0.0,0.0
Mayerthorpe,0.0,0.0,0.0
Sexsmith,0.0,0.0,0.0
Spirit River,10.5,10.5,0.0
Tofield,0.0,0.0,0.0
Stettler,15.1,14.0,-1.1
Didsbury,1.4,0.0,-1.4
Barrhead,3.0,1.4,-1.6
Hinton,12.1,10.5,-1.6
Black Diamond,2.2,0.0,-2.2
Peace River,15.0,12.8,-2.2
Olds,4.9,2.6,-2.3
Beaverlodge,19.7,17.1,-2.6
Pincher Creek,6.3,3.3,-2.9
Banff,3.2,0.3,-2.9
Fairview,5.8,1.7,-4.1
Nanton,7.1,2.0,-5.1
Fort Macleod,7.7,1.8,-5.9
Athabasca,15.5,9.5,-6.0
Ponoka,10.2,4.1,-6.1
Drayton Valley,21.1,13.8,-7.3
Hanna,16.1,8.3,-7.8
Carstairs,8.3,0.0,-8.3
Rocky Mountain House,24.7,16.1,-8.6
Valleyview,20.0,11.1,-8.9
Drumheller,17.4,5.7,-11.7
Bowden,12.5,0.0,-12.5
Penhold,14.3,0.0,-14.3
Smoky Lake,21.2,6.1,-15.1
Millet,15.8,0.0,-15.8
Raymond,20.0,0.0,-20.0
Swan Hills,52.1,31.8,-20.3
Lac La Biche,24.4,0.0,-24.4
Cardston,40.0,0.0,-40.0
Grande Cache,56.2,15.4,-40.8

