Table 8: Weighted Rents by Bedroom Type and Overall Vacancy Rates by Community
Community,Unit Type,2012,2013,2014,2015,2016,2017,2018,2021,2022
Athabasca,1 - Bedroom,805,798,792,809,851,841,831,840,852
Athabasca,2 - Bedroom,904,959,926,951,959,966,958,912,931
Athabasca,3 - Bedroom,912,921,947,998,973,953,975,"1,026",980
Athabasca,Bachelor,0,514,549,549,681,725,725,706,719
Athabasca,Overall Vacancy Rate,8,3,5,4,18,13,21,15,9
Banff,1 - Bedroom,896,921,953,987,"1,094","1,131","1,224","1,318","1,435"
Banff,2 - Bedroom,"1,132","1,159","1,189","1,262","1,429","1,567","1,747","1,592","1,734"
Banff,3 - Bedroom,"1,236","1,255","1,270","1,313","1,359","1,463","1,613","1,716","1,805"
Banff,4+ Bedroom,"1,855","1,865","1,950","2,000","2,050","3,057","3,657","2,600","2,975"
Banff,Bachelor,680,751,787,809,850,876,890,964,810
Banff,Overall Vacancy Rate,1,0,0,0,0,1,1,3,0
Barrhead,1 - Bedroom,586,635,649,690,669,678,690,712,706
Barrhead,2 - Bedroom,690,697,720,750,768,776,786,806,798
Barrhead,3 - Bedroom,865,907,992,"1,007","1,023",936,980,900,900
Barrhead,Bachelor,490,508,515,532,476,441,504,571,498
Barrhead,Overall Vacancy Rate,2,1,2,1,7,12,6,3,1
Bassano,1 - Bedroom,417,400,440,470,375,400,447,0,475
Bassano,2 - Bedroom,533,532,508,559,607,556,650,0,560
Bassano,3 - Bedroom,583,578,592,677,600,600,600,656,706
Bassano,Overall Vacancy Rate,10,3,5,13,5,13,13,0,0
Beaverlodge,1 - Bedroom,690,733,696,742,740,772,765,858,846
Beaverlodge,2 - Bedroom,790,800,854,869,853,813,853,903,902
Beaverlodge,3 - Bedroom,830,842,972,947,969,886,991,"1,042","1,070"
Beaverlodge,Bachelor,600,650,0,0,0,0,0,0,0
Beaverlodge,Overall Vacancy Rate,1,4,0,3,25,11,10,20,17
Black Diamond,1 - Bedroom,850,850,"1,038","1,038","1,038","1,038","1,038",895,"1,300"
Black Diamond,2 - Bedroom,"1,020","1,050","1,073","1,112","1,135","1,125","1,158","1,014","1,500"
Black Diamond,3 - Bedroom,847,857,883,928,968,963,981,"1,023","1,037"
Black Diamond,Overall Vacancy Rate,0,0,3,0,0,0,0,2,0
Blackfalds,1 - Bedroom,735,825,825,0,0,855,0,0,0
Blackfalds,2 - Bedroom,877,926,951,933,929,895,864,0,904
Blackfalds,3 - Bedroom,"1,073","1,120","1,123","1,279","1,185","1,171","1,173","1,223","1,285"
Blackfalds,Overall Vacancy Rate,2,2,2,7,19,6,4,0,3
Bonnyville,1 - Bedroom,973,"1,103","1,221",954,847,861,873,791,872
Bonnyville,2 - Bedroom,"1,121","1,242","1,357","1,146",975,"1,046","1,024",965,963
Bonnyville,3 - Bedroom,"1,098","1,212","1,266","1,248","1,147","1,270","1,275","1,260",972
Bonnyville,Bachelor,898,957,"1,120",828,728,750,743,703,692
Bonnyville,Overall Vacancy Rate,7,0,5,22,50,19,28,15,19
Bow Island,1 - Bedroom,455,490,540,553,625,590,593,0,0
Bow Island,2 - Bedroom,560,602,635,656,662,671,674,0,635
Bow Island,3 - Bedroom,603,555,620,658,0,683,750,0,0
Bow Island,Bachelor,0,0,0,588,0,0,0,0,0
Bow Island,Overall Vacancy Rate,0,0,0,3,0,0,0,0,0
Bowden,1 - Bedroom,591,604,618,679,664,654,654,687,694
Bowden,2 - Bedroom,682,748,796,810,815,768,758,829,853
Bowden,Bachelor,463,543,505,525,513,436,436,545,615
Bowden,Overall Vacancy Rate,0,10,9,3,16,29,6,13,0
Bruderheim,1 - Bedroom,0,0,"1,695","1,695","1,695","1,695","1,495","1,250","1,250"
Bruderheim,2 - Bedroom,0,0,"1,895","1,895","1,895","1,649","1,470","1,245","1,245"
Bruderheim,3 - Bedroom,0,0,0,0,0,495,495,495,495
Bruderheim,Bachelor,0,0,0,0,0,0,695,700,700
Bruderheim,Overall Vacancy Rate,0,0,33,87,29,50,45,39,45
Cardston,1 - Bedroom,625,550,663,600,750,804,750,750,0
