Table 2b - Number of Vacancies by Rental Range and Type of Unit,,,,,,,,,,,,,,,,
Community,,,,,,,,,,,,,,,,
,Bachelor,,,1 - Bedroom,,,2 - Bedroom,,,,3 - Bedroom,,,4+ Bedroom,,
Rental Range,Units,Vacant,%,Units,Vacant,%,Units,,Vacant,%,Units,Vacant,%,Units,Vacant,%
< 500,53,22,41.5,18,1,5.6,10,,1,10.0,4,3,75.0,-,-,-
500 - 649,29,2,6.9,147,21,14.3,63,,5,7.9,5,0,0.0,-,-,-
650 - 799,72,12,16.7,766,82,10.7,644,,73,11.3,38,2,5.3,-,-,-
800 - 949,180,3,1.7,665,77,11.6,1698,,204,12.0,165,18,10.9,-,-,-
"950 - 1,099",3,0,0.0,150,18,12.0,862,,108,12.5,297,30,10.1,-,-,-
"1,100 - 1,349",8,0,0.0,253,22,8.7,446,,29,6.5,349,11,3.2,4,0,0.0
"1,350 +",-,-,-,87,3,3.4,479,,42,8.8,320,29,9.1,14,1,7.1
,,,,,,,,,,,,,,,,
