Table 2b - Number of Vacancies by Rental Range and Type of Unit,,,,,,,,,,,,,,,,
,,Bachelor,Bachelor,Bachelor,1 Bedroom,1 Bedroom,1 Bedroom,2 Bedroom,2 Bedroom,2 Bedroom,3 Bedroom,3 Bedroom,3 Bedroom,4+ Bedroom,4+ Bedroom,4+ Bedroom
Community,Rental Range ($),Units,Vacant,%,Units,Vacant,%,Units,Vacant,%,Units,Vacant,%,Units,Vacant,%
Athabasca,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Athabasca,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Athabasca,650 - 799,4,0,0.0,14,1,7.1,-,-,-,-,-,-,-,-,-
Athabasca,800 - 949,-,-,-,18,2,11.1,39,8,20.5,8,0,0.0,-,-,-
Athabasca,"950 - 1,099",-,-,-,13,0,0.0,5,1,20.0,37,3,8.1,-,-,-
Athabasca,"1,100 - 1,349",-,-,-,-,-,-,14,0,0.0,6,0,0.0,-,-,-
Athabasca,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Banff,< 500,-,-,-,-,-,-,-,-,-,-,-,,-,-,-
Banff,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Banff,650 - 799,6,0,0.0,6,0,0.0,-,-,-,-,-,-,-,-,-
Banff,800 - 949,4,0,0.0,-,-,-,1,0,0.0,-,-,-,-,-,-
Banff,"950 - 1,099",-,-,-,4,0,0.0,-,-,-,-,-,-,-,-,-
Banff,"1,100 - 1,349",2,0,0.0,15,0,0.0,1,0,0.0,1,0,0.0,-,-,-
Banff,"1,350 +",-,-,-,66,1,1.5,177,0,0.0,93,0,0.0,2,0,0.0
Barrhead,< 500,9,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Barrhead,500 - 649,3,0,0.0,38,0,0.0,-,-,-,-,-,-,-,-,-
Barrhead,650 - 799,2,0,0.0,27,0,0.0,61,1,1.6,2,1,50.0,-,-,-
Barrhead,800 - 949,-,-,-,4,1,25.0,37,0,0.0,4,0,0.0,-,-,-
Barrhead,"950 - 1,099",-,-,-,7,0,0.0,15,0,0.0,-,-,-,-,-,-
Barrhead,"1,100 - 1,349",-,-,-,-,-,-,3,0,0.0,1,0,0.0,-,-,-
Barrhead,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bassano,,,,,,,,,,,,,,,,
Bassano,< 500,-,-,-,4,0,0.0,-,-,-,-,-,-,-,-,-
Bassano,500 - 649,-,-,-,-,-,-,15,0,0.0,1,0,0.0,-,-,-
Bassano,650 - 799,-,-,-,-,-,-,-,-,-,2,0,0.0,-,-,-
Bassano,800 - 949,-,-,-,-,-,-,-,-,-,1,0,0.0,-,-,-
Bassano,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bassano,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bassano,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
