Community,Unit Type,2021,2022,2021 Vac. (%),2022 Vac. (%)
Athabasca,1 - Bedroom,840,852,,
Athabasca,2 - Bedroom,912,931,,w
Athabasca,3 - Bedroom,1026,980,,
Athabasca,Bachelor,706,719,,
Overall Vacancy Rate,,,,15,9
Banff,1 - Bedroom,1318,1435,,
Banff,2 - Bedroom,1592,1734,,
Banff,3 - Bedroom,1716,1805,,
Banff,4+ Bedroom,2600,2975,,
Banff,Bachelor,964,810,,
Overall Vacancy Rate,,,,3,0
Barrhead,1 - Bedroom,712,706,,
Barrhead,2 - Bedroom,806,798,,
Barrhead,3 - Bedroom,900,900,,
Barrhead,Bachelor,571,498,,
Overall Vacancy Rate,,,,3,1
Bassano,1 - Bedroom,0,475,,
Bassano,2 - Bedroom,0,560,,
Bassano,3 - Bedroom,656,706,,
Overall Vacancy Rate,,,,0,0
Beaverlodge,1 - Bedroom,858,846,,
Beaverlodge,2 - Bedroom,903,902,,
Beaverlodge,3 - Bedroom,1042,1070,,
Beaverlodge,Bachelor,0,0,,
Overall Vacancy Rate,,,,20,17
Black Diamond,1 - Bedroom,895,1300,,
Black Diamond,2 - Bedroom,1014,1500,,
Black Diamond,3 - Bedroom,1023,1037,,
Overall Vacancy Rate,,,,2,0
Blackfalds,1 - Bedroom,0,0,,
Blackfalds,2 - Bedroom,0,904,,
Blackfalds,3 - Bedroom,1223,1285,,
Overall Vacancy Rate,,,,0,3
Bonnyville,1 - Bedroom,791,872,,
Bonnyville,2 - Bedroom,965,963,,
Bonnyville,3 - Bedroom,1260,972,,
Bonnyville,Bachelor,703,692,,
Overall Vacancy Rate,,,,15,19
Bow Island,1 - Bedroom,0,0,,
Bow Island,2 - Bedroom,0,635,,
Bow Island,3 - Bedroom,0,0,,
Bow Island,Bachelor,0,0,,
Overall Vacancy Rate,,,,0,0
Bowden,1 - Bedroom,687,694,,
Bowden,2 - Bedroom,829,853,,
Bowden,Bachelor,545,615,,
Overall Vacancy Rate,,,,13,0
Bruderheim,1 - Bedroom,1250,1250,,
Bruderheim,2 - Bedroom,1245,1245,,
Bruderheim,3 - Bedroom,495,495,,
Bruderheim,Bachelor,700,700,,
Overall Vacancy Rate,,,,39,45
Cardston,1 - Bedroom,750,0,,
Cardston,2 - Bedroom,975,871,,
Cardston,3 - Bedroom,0,900,,
Overall Vacancy Rate,,,,40,0
Carstairs,1 - Bedroom,738,0,,
Carstairs,2 - Bedroom,862,863,,
Carstairs,3 - Bedroom,840,840,,
Overall Vacancy Rate,,,,8,0
Claresholm,1 - Bedroom,632,870,,
Claresholm,2 - Bedroom,703,832,,
Claresholm,3 - Bedroom,775,875,,
Claresholm,4+ Bedroom,0,0,,
Claresholm,Bachelor,587,590,,
Overall Vacancy Rate,,,,0,1
Coaldale,1 - Bedroom,736,764,,
Coaldale,2 - Bedroom,853,810,,
Coaldale,3 - Bedroom,1000,0,,
Coaldale,4+ Bedroom,0,1795,,
Overall Vacancy Rate,,,,0,8
Crowsnest Pass,1 - Bedroom,660,527,,
Crowsnest Pass,2 - Bedroom,820,650,,
Crowsnest Pass,3 - Bedroom,1125,0,,
Crowsnest Pass,4+ Bedroom,0,0,,
Crowsnest Pass,Bachelor,487,380,,
Overall Vacancy Rate,,,,14,17
Didsbury,1 - Bedroom,710,1000,,
Didsbury,2 - Bedroom,625,1203,,
Didsbury,3 - Bedroom,940,961,,
Overall Vacancy Rate,,,,1,0
Drayton Valley,1 - Bedroom,774,811,,
Drayton Valley,2 - Bedroom,871,876,,
Drayton Valley,3 - Bedroom,1031,1125,,
Drayton Valley,Bachelor,633,692,,
Overall Vacancy Rate,,,,21,14
Drumheller,1 - Bedroom,719,800,,
Drumheller,2 - Bedroom,804,845,,
Drumheller,3 - Bedroom,758,825,,
Drumheller,Bachelor,613,0,,
Overall Vacancy Rate,,,,17,6
Eckville,1 - Bedroom,500,0,,
Eckville,2 - Bedroom,700,775,,
Eckville,3 - Bedroom,884,806,,
Overall Vacancy Rate,,,,5,7
Edson,1 - Bedroom,906,910,,
Edson,2 - Bedroom,1045,1008,,
Edson,3 - Bedroom,1194,1213,,
Edson,Bachelor,780,800,,
Overall Vacancy Rate,,,,2,4
Elk Point,1 - Bedroom,0,0,,
Elk Point,2 - Bedroom,0,0,,
Elk Point,3 - Bedroom,0,0,,
Overall Vacancy Rate,,,,0,0
Fairview,1 - Bedroom,711,745,,
Fairview,2 - Bedroom,828,851,,
Fairview,3 - Bedroom,825,725,,
Fairview,Bachelor,650,700,,
Overall Vacancy Rate,,,,6,2
Falher,1 - Bedroom,699,738,,
Falher,2 - Bedroom,830,819,,
Falher,3 - Bedroom,900,907,,
Falher,Bachelor,500,550,,
Overall Vacancy Rate,,,,4,11
Fort Macleod,1 - Bedroom,621,742,,
Fort Macleod,2 - Bedroom,850,898,,
Fort Macleod,3 - Bedroom,1250,1165,,
Fort Macleod,4+ Bedroom,1275,1288,,
Fort Macleod,Bachelor,700,800,,
