Area Name,2021,2022
Cypress County,7751,7785
Medicine Hat,65266,65291
Forty Mile County No. 8,3725,3785
Foremost,517,517
Bow Island,2106,2129
Redcliff,5768,5823
Warner County No. 51 *,4423,4403
Coutts,228,233
Milk River,844,852
Warner,371,366
Raymond1 *,4334,4455
Stirling,1205,1209
Lethbridge County3 *,10463,10529
Lethbridge,102097,103925
Coalhurst,2994,3106
Nobleford,1495,1561
Barons,324,325
Picture Butte,2008,2130
Coaldale3 *,9073,9179
Taber,9177,9325
Barnwell,1008,1026
Vauxhall,1330,1384
Newell County,7669,7716
Brooks,15436,15356
Duchess,1089,1114
Rosemary,383,381
Bassano,1250,1255
Cardston County6 *,4987,4936
Magrath,2560,2522
Improvement District No. 4 Waterton,138,140
Cardston6 *,3822,3828
Glenwood,278,285
Hill Spring,172,175
Pincher Creek No. 9,3329,3339
Pincher Creek,3728,3775
Cowley,222,216
Willow Creek No. 261 5 8 *,6254,6249
Fort Macleod,3402,3499
Granum5 *,--,--
Claresholm1 5 8 *,3895,3957
Stavely,558,560
Nanton,2221,2274
Piikani 147,1626,1600
Blood 148,4712,4629
Blood 148A,0,0
"Peigan Timber Limit ""B"" ",17,17
Acadia No. 34,508,491
Special Area No. 2,1899,1930
Empress,152,159
Hanna,2472,2492
Special Area No. 3 5 *,1174,1097
Oyen,946,932
Cereal5 *,--,--
Youngstown,175,175
Special Area No. 4,1263,1240
Veteran,220,218
Consort,666,667
Vulcan County,4400,4364
Carmangay,274,284
Champion,361,379
Vulcan,1809,1825
Lomond,184,191
Milo,114,118
Arrowwood,194,196
Wheatland County,8997,9247
Strathmore,14831,15298
Hussar,169,167
Standard,362,368
Rockyford,407,412
Drumheller,8176,8231
Starland County,1876,1829
Delia,155,152
Munson,176,183
Morrin,211,209
Kneehill County,5064,5015
Carbon,506,519
Acme,617,628
Linden,768,784
Three Hills,3264,3322
Trochu,1024,1030
Siksika 146,3688,3659
Foothills County2 4 5 *,23851,24119
High River5 *,14740,14996
Longview,306,307
Turner Valley7 *,2686,2768
Diamond Valley7 *,--,--
Black Diamond4 7 *,2804,2825
Okotoks2 *,31386,31913
Rocky View County,42378,43700
Calgary,1356293,1395040
Chestermere,23005,24338
Cochrane,33295,34697
Airdrie,77079,80120
Irricana,1221,1233
Beiseker,774,797
Crossfield,3727,3889
Mountain View County6 *,13368,13296
Carstairs,5055,5181
Cremona,453,457
Didsbury,5219,5172
Olds6 *,9473,9635
Sundre,2751,2744
Eden Valley 216,625,628
Tsuu T'ina Nation 145 (Sarcee 145),2381,2414
Provost No. 52,2123,2125
Provost,1957,1924
Czar,257,264
Hughenden,219,215
Amisk,225,223
Paintearth County No. 18,2046,2058
Coronation,888,908
Castor,824,864
Halkirk,95,95
Stettler County No. 62 5 *,5831,5760
Big Valley,339,336
Gadsby5 *,--,--
Botha2 *,--,--
Stettler,5846,5761
White Sands,178,182
Rochon Sands,99,102
Donalda,231,233
Flagstaff County1 4 6 *,3794,3735
Alliance1 *,170,173
Forestburg4 *,827,856
Heisler,138,136
Daysland,810,839
Killam,943,926
Sedgewick,787,771
Lougheed,231,230
Hardisty,564,573
Wainwright No. 613 6 *,4590,4544
Chauvin,313,299
Edgerton,397,408
Wainwright3 *,6860,6741
Irma6 *,492,494
Red Deer County3 *,20555,20916
Elnora,294,305
Delburne,948,952
Jarvis Bay,219,223
Bowden,1323,1297
Innisfail,8224,8337
Penhold3 *,3640,3679
Red Deer,104361,105176
Sylvan Lake,16597,16960
Norglenwold,313,320
Lacombe County,10598,10607
Birchcliff,216,233
Eckville,1048,1079
Half Moon Bay,66,61
Bentley,1074,1101
Sunbreaker Cove,132,131
Gull Lake,230,239
Blackfalds,11084,11363
Lacombe,13827,14127
Clive,811,836
Alix,796,817
Ponoka County,10314,10376
Ponoka,7559,7723
Parkland Beach,170,168
Rimbey,2534,2517
Samson 137,3365,3391
Samson 137A,20,20
Montana 139,619,621
Clearwater County,12216,12015
Burnstick Lake,21,28
Caroline,489,498
Rocky Mountain House,6993,7125
O'Chiese 203,834,841
Sunchild 202,668,658
Big Horn 144A,248,248
Camrose County4 *,8746,8798
Bashaw,868,880
Rosalind,166,176
Ferintosh4 *,--,--
Edberg,130,128
Bawlf,425,428
Camrose,19361,19580
Bittern Lake,222,226
Hay Lakes,468,458
Beaver County,6044,6093
Tofield,2104,2113
Ryley,497,506
Holden,346,352
Viking,1012,994
Minburn County No. 27,3102,3069
Vegreville,5848,5819
Innisfree,191,193
Mannville,787,797
Vermilion River County5 6 *,8272,8234
Paradise Valley,158,158
Lloydminster (Part)6 *,20423,20418
Kitscoty,881,923
Vermilion,4078,3978
Marwayne,566,565
Dewberry5 *,--,--
Two Hills County No. 212 *,3514,3574
Myrnam,263,256
Two Hills,1461,1521
Willingdon2 *,--,--
Lamont County2 *,3855,3849
Andrew,374,378
Mundare,812,867
Chipman,253,269
Lamont,1789,1768
Bruderheim2 *,1379,1392
Improvement District No. 13 Elk Island,0,0
Makaoo (Part) 120,178,178
Wetaskiwin County No. 10 1 2 8 *,11514,11530
Wetaskiwin,12957,12961
Argentia Beach,39,39
Grandview1 *,145,153
Poplar Bay 8 *,114,117
Crystal Springs,75,76
Norris Beach,73,69
Ma-Me-O Beach 8 *,129,127
Silver Beach,56,56
Millet2 5 *,1951,1924
Leduc County1 3 *,14886,15113
Beaumont1 *,21688,22277
Leduc,35368,36017
Devon,6740,6787
Calmar,2264,2286
Sundance Beach,42,41
Thorsby,998,1003
Itaska Beach,30,30
Golden Days,253,251
Warburg,695,702
Breton,583,576
Drayton Valley,7545,7482
Brazeau County,7410,7427
Parkland County5 *,33151,33284
Seba Beach,232,233
Betula Beach,28,28
Point Alison,18,18
Lakeview,29,28
Kapasiwin,24,26
Wabamun5 *,--,--
Spring Lake,733,762
Stony Plain,18556,18737
Spruce Grove5 *,39068,39962
Strathcona County4 *,102426,103185
Fort Saskatchewan4 *,28567,28969
Sturgeon County6 *,20733,20785
Edmonton3 *,1050945,1073454
St. Albert6 *,70389,70773
Gibbons,3332,3305
Redwater,2189,2185
Bon Accord,1514,1524
Morinville,10753,10763
Legal,1276,1295
Ermineskin 138,2340,2309
Pigeon Lake 138A 8 *,299,298
Louis Bull 138B,1370,1382
Stony Plain 135,1897,1918
Alexander 134,1112,1112
Wabamun 133A,1018,1014
Wabamun 133B,21,22
Cold Lake3 *,16345,16361
Bonnyville No. 87 1 3 6 *,13250,13139
Bonnyville 1 *,6624,6632
Bonnyville Beach,72,70
Glendon,533,534
Pelican Narrows,161,161
St. Paul County No. 19,6477,6430
Elk Point,1442,1455
St. Paul,6052,5805
Horseshoe Bay,84,85
Smoky Lake County,3983,3980
