"Census Subdivision (Municipal) Population Estimates, July 1, 2016 to 2024, Alberta",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Census Division,Census Subdivision,Area Name,Type,2016,2017,2018,2019,2020,2021,2022,2023,2024
4801,4801003,Cypress County,MD,7849,7877,7833,7838,7830,7751,7785,7789,7790
4801,4801006,Medicine Hat,CY,64780,64964,65134,65279,65391,65266,65291,66213,67909
4801,4801008,Forty Mile County No. 8,MD,3660,3602,3637,3667,3650,3725,3785,3841,3829
4801,4801009,Foremost,VL,552,489,519,501,502,517,517,531,537
4801,4801014,Bow Island,T,2029,2024,2016,1973,1956,2106,2129,2138,2169
4801,4801018,Redcliff,T,5729,5744,5796,5826,5814,5768,5823,5913,5911
4802,4802001,Warner County No. 51 *,MD,4048,4101,4133,4160,4180,4423,4403,4455,4441
4802,4802002,Coutts,VL,248,211,208,208,205,228,233,244,259
4802,4802004,Milk River,T,841,755,758,756,735,844,852,844,843
4802,4802006,Warner,VL,381,335,337,331,331,371,366,374,386
4802,4802008,Raymond1 *,T,3799,3829,3878,3950,4010,4334,4455,4502,4510
4802,4802009,Stirling,VL,1001,992,1026,1037,1061,1205,1209,1243,1312
4802,4802011,Lethbridge County3 *,MD,10613,10580,10795,10793,10893,10463,10529,10643,10784
4802,4802012,Lethbridge,CY,95521,97241,99011,100761,102239,102097,103925,106955,111400
4802,4802013,Coalhurst,T,2755,2791,2843,2927,2998,2994,3106,3167,3216
4802,4802014,Nobleford,T,1317,1312,1292,1402,1446,1495,1561,1627,1648
4802,4802016,Barons,VL,350,315,325,301,288,324,325,326,327
4802,4802018,Picture Butte,T,1860,1812,1858,1944,2045,2008,2130,2275,2361
4802,4802019,Coaldale3 *,T,8461,8503,8645,8920,9070,9073,9179,9300,9433
4802,4802021,Taber,MD,7292,7454,7528,7470,7496,7697,7751,7851,7934
4802,4802022,Taber,T,8663,8822,8952,8957,8942,9177,9325,9653,9853
4802,4802023,Barnwell,VL,975,902,942,991,1037,1008,1026,1044,1063
4802,4802029,Vauxhall,T,1253,1216,1215,1257,1285,1330,1384,1414,1442
4802,4802031,Newell County,MD,7719,7707,7606,7644,7625,7669,7716,7733,7731
4802,4802034,Brooks,CY,14897,14968,14945,15079,15190,15436,15356,16026,16918
4802,4802036,Duchess,VL,1108,1035,1077,1083,1076,1089,1114,1085,1061
4802,4802038,Rosemary,VL,406,345,360,357,357,383,381,379,377
4802,4802039,Bassano,T,1232,1150,1148,1146,1115,1250,1255,1304,1348
4803,4803001,Cardston County6 *,MD,4594,4751,4799,4887,4924,4987,4936,4887,4886
4803,4803002,Magrath,T,2430,2464,2536,2599,2607,2560,2522,2529,2535
4803,4803003,Improvement District No. 4 Waterton,ID,108,96,107,98,94,138,140,142,144
4803,4803004,Cardston6 *,T,3654,3760,3799,3735,3687,3822,3828,3853,3893
4803,4803006,Glenwood,VL,322,282,295,311,311,278,285,292,294
4803,4803008,Hill Spring,VL,164,148,159,162,163,172,175,178,181
4803,4803011,Pincher Creek No. 9,MD,3014,3086,3129,3188,3256,3329,3339,3333,3262
4803,4803014,Pincher Creek,T,3721,3829,3787,3757,3702,3728,3775,3862,3901
4803,4803016,Cowley,VL,214,188,186,177,171,222,216,219,210
4803,4803018,Willow Creek No. 261 5 8 *,MD,5278,5488,5602,5679,5736,6254,6249,6219,6207
4803,4803019,Fort Macleod,T,3034,3113,3143,3160,3233,3402,3499,3622,3794
4803,4803021,Granum5 *,T,414,406,420,438,441,--,--,--,--
4803,4803022,Claresholm1 5 8 *,T,3839,3817,3829,3865,3909,3895,3957,4008,4127
4803,4803024,Stavely,T,552,504,484,487,507,558,560,562,564
4803,4803026,Nanton,T,2220,2126,2157,2228,2227,2221,2274,2299,2446
4803,4803801,Piikani 147,IRI,1591,1565,1580,1604,1647,1626,1600,1554,1543
4803,4803802,Blood 148,IRI,4708,4791,4825,4897,4957,4712,4629,4563,4419
4803,4803803,Blood 148A,IRI,0,0,0,0,0,0,0,0,0
4803,4803805,"Peigan Timber Limit ""B"" ",IRI,0,4,4,4,4,17,17,17,27
4804,4804001,Acadia No. 34,MD,499,453,477,472,476,508,491,482,478
4804,4804004,Special Area No. 2,SA,1917,1989,1994,1972,1919,1899,1930,1943,1903
4804,4804006,Empress,VL,136,118,115,125,120,152,159,167,175
4804,4804011,Hanna,T,2587,2653,2607,2593,2628,2472,2492,2555,2653
4804,4804012,Special Area No. 3 5 *,SA,1051,1077,1075,1035,1021,1174,1097,1079,1045
4804,4804014,Oyen,T,1007,947,942,925,933,946,932,922,910
4804,4804016,Cereal5 *,VL,112,120,118,119,108,--,--,--,--
4804,4804019,Youngstown,VL,154,136,135,135,143,175,175,173,176
4804,4804020,Special Area No. 4,SA,1252,1281,1293,1269,1255,1263,1240,1253,1241
4804,4804021,Veteran,VL,209,177,193,196,182,220,218,222,225
4804,4804022,Consort,VL,732,697,678,667,679,666,667,660,669
4805,4805001,Vulcan County,MD,4082,4153,4160,4196,4183,4400,4364,4364,4392
